X,Y,sY
41,"0,079","0,005"
42,"0,097","0,006"
48,"0,179","0,010"
51,"0,236","0,013"
52,"0,245","0,013"
53,"0,268","0,029"
55,"0,261","0,017"
56,"0,277","0,016"
66,"0,308","0,018"
70,"0,296","0,017"
74,"0,290","0,017"
78,"0,266","0,016"
79,"0,260","0,015"
82,"0,23","0,013"
83,"0,22","0,013"
